sn,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
148160.0,Fair/Good,Fair/Good,Fair/Good,Fair/Good,Fair/Good,Fair/Good,Fair/Good,Fair/Good,Fair/Good,Fair/Good,Poor,Poor,Poor,Poor,Poor,Poor
148170.0,Fair/Good,Fair/Good,Fair/Good,Fair/Good,Fair/Good,Fair/Good,Poor,-,-,-,-,-,-,-,-,-
148171.0,-,-,-,-,-,-,-,Fair/Good,Fair/Good,Fair/Good,Fair/Good,Fair/Good,Fair/Good,Fair/Good,Fair/Good,Fair/Good
148211.0,Fair/Good,Fair/Good,Fair/Good,Fair/Good,Fair/Good,Fair/Good,Fair/Good,Fair/Good,Fair/Good,Fair/Good,Fair/Good,Fair/Good,Fair/Good,Fair/Good,Fair/Good,Fair/Good
148220.0,Fair/Good,Fair/Good,Fair/Good,Fair/Good,Poor,Poor,Poor,-,-,-,-,-,-,-,-,-
148221.0,-,-,-,-,-,-,-,Fair/Good,Fair/Good,Fair/Good,Fair/Good,Fair/Good,Fair/Good,Fair/Good,Fair/Good,Fair/Good
148231.0,Fair/Good,Fair/Good,Fair/Good,Fair/Good,Poor,Poor,Poor,-,-,-,-,-,-,-,-,-
148232.0,-,-,-,-,-,-,-,Fair/Good,Fair/Good,Fair/Good,Fair/Good,Fair/Good,Fair/Good,Fair/Good,Fair/Good,Fair/Good
148241.0,Fair/Good,Fair/Good,Fair/Good,Fair/Good,Fair/Good,Fair/Good,Fair/Good,Fair/Good,Fair/Good,Fair/Good,Fair/Good,Fair/Good,Fair/Good,Fair/Good,Fair/Good,Fair/Good
148281.0,Fair/Good,Fair/Good,Fair/Good,Fair/Good,Fair/Good,Fair/Good,Fair/Good,Fair/Good,Fair/Good,Fair/Good,Fair/Good,Fair/Good,Fair/Good,Fair/Good,Fair/Good,Fair/Good
148291.0,Fair/Good,Fair/Good,Fair/Good,Fair/Good,Fair/Good,Fair/Good,Fair/Good,Fair/Good,Fair/Good,Fair/Good,Fair/Good,Fair/Good,Fair/Good,Fair/Good,Fair/Good,Fair/Good
